CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
110028,University Hospital,Augusta,GA,"University Health Care System - Augusta, GA",Short Term Acute Care,110028_University Hospital
110029,Northeast Georgia Medical Center Gainesville,Gainesville,GA,"Northeast Georgia Health System - Gainesville, GA",Short Term Acute Care,110029_Northeast Georgia Medical Center Gainesville
110030,Piedmont Cartersville Medical Center,Cartersville,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110030_Piedmont Cartersville Medical Center
110031,WellStar Spalding Regional Hospital,Griffin,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110031_WellStar Spalding Regional Hospital
110032,Stephens County Hospital,Toccoa,GA,"Not In Any System - ,",Short Term Acute Care,110032_Stephens County Hospital
110034,Augusta University Medical Center,Augusta,GA,"Augusta University Health System - Augusta, GA",Short Term Acute Care,110034_Augusta University Medical Center
110035,WellStar Kennestone Hospital,Marietta,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110035_WellStar Kennestone Hospital
110036,Memorial Health University Medical Center,Savannah,GA,"HCA Healthcare - Nashville, TN",Short Term Acute Care,110036_Memorial Health University Medical Center
110038,Archbold Medical Center,Thomasville,GA,"Archbold Medical Center - Thomasville, GA",Short Term Acute Care,110038_Archbold Medical Center
110039,University Hospital Summerville,Augusta,GA,"University Health Care System - Augusta, GA",Short Term Acute Care,110039_University Hospital Summerville
110041,Habersham Medical Center,Demorest,GA,"Not In Any System - ,",Short Term Acute Care,110041_Habersham Medical Center
110042,WellStar Paulding Hospital,Hiram,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110042_WellStar Paulding Hospital
110043,Saint Joseph's Hospital,Savannah,GA,"Saint Joseph's/Candler - Savannah, GA",Short Term Acute Care,110043_Saint Joseph's Hospital
110044,Phoebe Sumter Medical Center,Americus,GA,"Phoebe Putney Health System - Albany, GA",Short Term Acute Care,110044_Phoebe Sumter Medical Center
110045,Northeast Georgia Medical Center Barrow,Winder,GA,"Northeast Georgia Health System - Gainesville, GA",Short Term Acute Care,110045_Northeast Georgia Medical Center Barrow
110046,Piedmont Walton,Monroe,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110046_Piedmont Walton
110050,AdventHealth Murray,Chatsworth,GA,"AdventHealth - Altamonte Springs, FL",Short Term Acute Care,110050_AdventHealth Murray
110051,Union General Hospital,Blairsville,GA,"Union General Health System - Blairsville, GA",Short Term Acute Care,110051_Union General Hospital
110054,Floyd Medical Center,Rome,GA,"Atrium Health - Charlotte, NC",Short Term Acute Care,110054_Floyd Medical Center
110064,Piedmont Columbus Regional - Midtown Campus,Columbus,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110064_Piedmont Columbus Regional - Midtown Campus
110069,Houston Medical Center,Warner Robins,GA,"Houston Healthcare - Warner Robins, GA",Short Term Acute Care,110069_Houston Medical Center
110071,Appling Hospital,Baxley,GA,"Not In Any System - ,",Short Term Acute Care,110071_Appling Hospital
110073,Dorminy Medical Center,Fitzgerald,GA,"Not In Any System - ,",Short Term Acute Care,110073_Dorminy Medical Center
110074,Piedmont Athens Regional,Athens,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110074_Piedmont Athens Regional
110075,East Georgia Regional Medical Center,Statesboro,GA,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,110075_East Georgia Regional Medical Center
110076,Emory Decatur Hospital,Decatur,GA,"Emory Healthcare - Atlanta, GA",Short Term Acute Care,110076_Emory Decatur Hospital
110078,Emory University Hospital Midtown,Atlanta,GA,"Emory Healthcare - Atlanta, GA",Short Term Acute Care,110078_Emory University Hospital Midtown
110079,Grady Memorial Hospital,Atlanta,GA,"Not In Any System - ,",Short Term Acute Care,110079_Grady Memorial Hospital
110082,Emory Saint Joseph's Hospital,Atlanta,GA,"Not In Any System - ,",Short Term Acute Care,110082_Emory Saint Joseph's Hospital
110083,Piedmont Atlanta Hospital,Atlanta,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110083_Piedmont Atlanta Hospital
110086,Washington County Regional Medical Center,Sandersville,GA,"Not In Any System - ,",Short Term Acute Care,110086_Washington County Regional Medical Center
110087,Northside Hospital Gwinnett,Lawrenceville,GA,"Northside Hospital - Atlanta, GA",Short Term Acute Care,110087_Northside Hospital Gwinnett
110089,Coffee Regional Medical Center,Douglas,GA,"Not In Any System - ,",Short Term Acute Care,110089_Coffee Regional Medical Center
110091,Piedmont Rockdale Hospital,Conyers,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110091_Piedmont Rockdale Hospital
110092,Dodge County Hospital,Eastman,GA,"Not In Any System - ,",Short Term Acute Care,110092_Dodge County Hospital
110095,Tift Regional Medical Center,Tifton,GA,"Tift Regional Health System - Tifton, GA",Short Term Acute Care,110095_Tift Regional Medical Center
110100,Jefferson Hospital,Louisville,GA,"Not In Any System - ,",Short Term Acute Care,110100_Jefferson Hospital
110101,Southwell Medical,Adel,GA,"Tift Regional Health System - Tifton, GA",Short Term Acute Care,110101_Southwell Medical
110104,Crisp Regional Hospital,Cordele,GA,"Not In Any System - ,",Short Term Acute Care,110104_Crisp Regional Hospital
110105,Colquitt Regional Medical Center,Moultrie,GA,"Not In Any System - ,",Short Term Acute Care,110105_Colquitt Regional Medical Center
110107,Atrium Health Navicent The Medical Center,Macon,GA,"Atrium Health Navicent - Macon, GA",Short Term Acute Care,110107_Atrium Health Navicent The Medical Center
110109,Emanuel Medical Center,Swainsboro,GA,"Not In Any System - ,",Short Term Acute Care,110109_Emanuel Medical Center
110111,University Hospital McDuffie,Thomson,GA,"University Health Care System - Augusta, GA",Short Term Acute Care,110111_University Hospital McDuffie
110113,Burke Medical Center,Waynesboro,GA,"Not In Any System - ,",Short Term Acute Care,110113_Burke Medical Center
110115,WellStar Atlanta Medical Center,Atlanta,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110115_WellStar Atlanta Medical Center
110121,Grady General Hospital,Cairo,GA,"Archbold Medical Center - Thomasville, GA",Short Term Acute Care,110121_Grady General Hospital
110122,South Georgia Medical Center,Valdosta,GA,"South Georgia Health System - Valdosta, GA",Short Term Acute Care,110122_South Georgia Medical Center
110124,Wayne Memorial Hospital,Jesup,GA,"Not In Any System - ,",Short Term Acute Care,110124_Wayne Memorial Hospital
110125,Fairview Park Hospital,Dublin,GA,"HCA Healthcare - Nashville, TN",Short Term Acute Care,110125_Fairview Park Hospital
110128,Memorial Health Meadows Hospital,Vidalia,GA,"HCA Healthcare - Nashville, TN",Short Term Acute Care,110128_Memorial Health Meadows Hospital
110129,Saint Francis Hospital,Columbus,GA,"Not In Any System - ,",Short Term Acute Care,110129_Saint Francis Hospital
110130,Irwin County Hospital,Ocilla,GA,"Not In Any System - ,",Short Term Acute Care,110130_Irwin County Hospital
110132,Memorial Hospital and Manor,Bainbridge,GA,"Not In Any System - ,",Short Term Acute Care,110132_Memorial Hospital and Manor
110135,Taylor Regional Hospital,Hawkinsville,GA,"Not In Any System - ,",Short Term Acute Care,110135_Taylor Regional Hospital
110142,Evans Memorial Hospital,Claxton,GA,"Not In Any System - ,",Short Term Acute Care,110142_Evans Memorial Hospital
110143,WellStar Cobb Hospital,Austell,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110143_WellStar Cobb Hospital
110146,Southeast Georgia Health System - Camden Campus,Saint Marys,GA,"Southeast Georgia Health System - Brunswick, GA",Short Term Acute Care,110146_Southeast Georgia Health System - Camden Campus
110150,Atrium Health Navicent Baldwin,Milledgeville,GA,"Atrium Health Navicent - Macon, GA",Short Term Acute Care,110150_Atrium Health Navicent Baldwin
110153,Perry Hospital,Perry,GA,"Houston Healthcare - Warner Robins, GA",Short Term Acute Care,110153_Perry Hospital
110161,Northside Hospital Atlanta,Atlanta,GA,"Northside Hospital - Atlanta, GA",Short Term Acute Care,110161_Northside Hospital Atlanta
110163,Phoebe North Campus,Albany,GA,"Phoebe Putney Health System - Albany, GA",Short Term Acute Care,110163_Phoebe North Campus
110164,Piedmont Macon Medical Center,Macon,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110164_Piedmont Macon Medical Center
110165,Southern Regional Medical Center,Riverdale,GA,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,110165_Southern Regional Medical Center
110168,Redmond Regional Medical Center,Rome,GA,"AdventHealth - Altamonte Springs, FL",Short Term Acute Care,110168_Redmond Regional Medical Center
110177,Doctors Hospital of Augusta,Augusta,GA,"HCA Healthcare - Nashville, TN",Short Term Acute Care,110177_Doctors Hospital of Augusta
110184,WellStar Douglas Hospital,Douglasville,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110184_WellStar Douglas Hospital
110189,Fannin Regional Hospital,Blue Ridge,GA,"Quorum Health - Brentwood, TN",Short Term Acute Care,110189_Fannin Regional Hospital
110190,Flint River Community Hospital,Montezuma,GA,"Not In Any System - ,",Short Term Acute Care,110190_Flint River Community Hospital
110191,Piedmont Henry Hospital,Stockbridge,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110191_Piedmont Henry Hospital
110192,Piedmont Eastside Medical Center,Snellville,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110192_Piedmont Eastside Medical Center
110194,Donalsonville Hospital,Donalsonville,GA,"Not In Any System - ,",Short Term Acute Care,110194_Donalsonville Hospital
110198,WellStar North Fulton Regional Hospital,Roswell,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110198_WellStar North Fulton Regional Hospital
110200,Piedmont Columbus Regional - Northside,Columbus,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110200_Piedmont Columbus Regional - Northside
110201,Piedmont Macon North Hospital,Macon,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110201_Piedmont Macon North Hospital
110203,Emory University Hospital at Wesley Woods,Atlanta,GA,"Emory Healthcare - Atlanta, GA",Short Term Acute Care,110203_Emory University Hospital at Wesley Woods
110209,Turning Point Care Center,Moultrie,GA,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,110209_Turning Point Care Center
110215,Piedmont Fayette Hospital,Fayetteville,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110215_Piedmont Fayette Hospital
110219,WellStar Atlanta Medical Center South,East Point,GA,"WellStar Health System - Marietta, GA",Short Term Acute Care,110219_WellStar Atlanta Medical Center South
110225,Piedmont Mountainside Hospital,Jasper,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110225_Piedmont Mountainside Hospital
110226,Emory Hillandale Hospital,Lithonia,GA,"Emory Healthcare - Atlanta, GA",Short Term Acute Care,110226_Emory Hillandale Hospital
110229,Piedmont Newnan Hospital,Newnan,GA,"Piedmont Healthcare - Atlanta, GA",Short Term Acute Care,110229_Piedmont Newnan Hospital
110230,Emory Johns Creek Hospital,Johns Creek,GA,"Emory Healthcare - Atlanta, GA",Short Term Acute Care,110230_Emory Johns Creek Hospital
110233,Cancer Treatment Centers of America Atlanta,Newnan,GA,"Cancer Treatment Centers of America - Boca Raton, FL",Short Term Acute Care,110233_Cancer Treatment Centers of America Atlanta
110234,SGMC Berrien Campus,Nashville,GA,"South Georgia Health System - Valdosta, GA",Short Term Acute Care,110234_SGMC Berrien Campus
110236,CHI Memorial Hospital Georgia,Fort Oglethorpe,GA,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,110236_CHI Memorial Hospital Georgia
110237,Northeast Georgia Medical Center Lumpkin,Dahlonega,GA,"Not In Any System - ,",Short Term Acute Care,110237_Northeast Georgia Medical Center Lumpkin
11030F,Charlie Norwood VA Medical Center,Augusta,GA,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,11030F_Charlie Norwood VA Medical Center
11031F,Dublin VA Medical Center,Dublin,GA,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,11031F_Dublin VA Medical Center
11032F,Martin Army Community Hospital,Fort Benning,GA,"TRICARE - Falls Church, VA",Short Term Acute Care,11032F_Martin Army Community Hospital
11033F,Eisenhower Army Medical Center,Fort Gordon,GA,"TRICARE - Falls Church, VA",Short Term Acute Care,11033F_Eisenhower Army Medical Center
11035F,Winn Army Community Hospital,Fort Stewart,GA,"TRICARE - Falls Church, VA",Short Term Acute Care,11035F_Winn Army Community Hospital
11083F,Atlanta VA Medical Center,Decatur,GA,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,11083F_Atlanta VA Medical Center
111302,Bleckley Memorial Hospital,Cochran,GA,"Not In Any System - ,",Critical Access,111302_Bleckley Memorial Hospital
111303,Jasper Memorial Hospital,Monticello,GA,"Not In Any System - ,",Critical Access,111303_Jasper Memorial Hospital
111304,Morgan Memorial Hospital,Madison,GA,"Not In Any System - ,",Critical Access,111304_Morgan Memorial Hospital
111305,Miller County Hospital,Colquitt,GA,"Not In Any System - ,",Critical Access,111305_Miller County Hospital
111306,Effingham Hospital,Springfield,GA,"Not In Any System - ,",Critical Access,111306_Effingham Hospital
111308,Clinch Memorial Hospital,Homerville,GA,"Not In Any System - ,",Critical Access,111308_Clinch Memorial Hospital
111310,Atrium Health Navicent Peach,Byron,GA,"Atrium Health Navicent - Macon, GA",Critical Access,111310_Atrium Health Navicent Peach
111311,Jenkins County Medical Center,Millen,GA,"Not In Any System - ,",Critical Access,111311_Jenkins County Medical Center
111312,Optim Medical Center - Screven,Sylvania,GA,"Optim Healthcare - Savannah, GA",Critical Access,111312_Optim Medical Center - Screven
111313,Putnam General Hospital,Eatonton,GA,"Not In Any System - ,",Critical Access,111313_Putnam General Hospital
111314,LifeBrite Community Hospital of Early,Blakely,GA,"LifeBrite Hospital Group - Lilburn, GA",Critical Access,111314_LifeBrite Community Hospital of Early
111316,Warm Springs Medical Center,Warm Springs,GA,"Not In Any System - ,",Critical Access,111316_Warm Springs Medical Center
111318,Monroe County Hospital,Forsyth,GA,"Not In Any System - ,",Critical Access,111318_Monroe County Hospital
111319,WellStar Sylvan Grove Hospital,Jackson,GA,"WellStar Health System - Marietta, GA",Critical Access,111319_WellStar Sylvan Grove Hospital
111320,Higgins General Hospital,Bremen,GA,"Tanner Health System - Carrollton, GA",Critical Access,111320_Higgins General Hospital
111323,Optim Medical Center Tattnall,Reidsville,GA,"Not In Any System - ,",Critical Access,111323_Optim Medical Center Tattnall
111324,Chatuge Regional Hospital,Hiawassee,GA,"Union General Health System - Blairsville, GA",Critical Access,111324_Chatuge Regional Hospital
111325,Wills Memorial Hospital,Washington,GA,"Not In Any System - ,",Critical Access,111325_Wills Memorial Hospital
111326,SGMC Lanier Campus,Lakeland,GA,"South Georgia Health System - Valdosta, GA",Critical Access,111326_SGMC Lanier Campus
111327,Bacon County Hospital,Alma,GA,"Not In Any System - ,",Critical Access,111327_Bacon County Hospital
111328,Phoebe Worth Medical Center,Sylvester,GA,"Phoebe Putney Health System - Albany, GA",Critical Access,111328_Phoebe Worth Medical Center
111329,Saint Mary's Good Samaritan Hospital,Greensboro,GA,"Trinity Health - Livonia, MI",Critical Access,111329_Saint Mary's Good Samaritan Hospital
111330,Polk Medical Center,Cedartown,GA,"Atrium Health - Charlotte, NC",Critical Access,111330_Polk Medical Center
111331,Mitchell County Hospital,Camilla,GA,"Archbold Medical Center - Thomasville, GA",Critical Access,111331_Mitchell County Hospital
111332,Brooks County Hospital,Quitman,GA,"Archbold Medical Center - Thomasville, GA",Critical Access,111332_Brooks County Hospital
111333,Jeff Davis Hospital,Hazlehurst,GA,"Not In Any System - ,",Critical Access,111333_Jeff Davis Hospital
111334,Candler County Hospital,Metter,GA,"Not In Any System - ,",Critical Access,111334_Candler County Hospital
111335,Liberty Regional Medical Center,Hinesville,GA,"Not In Any System - ,",Critical Access,111335_Liberty Regional Medical Center
111336,Mountain Lakes Medical Center,Clayton,GA,"Not In Any System - ,",Critical Access,111336_Mountain Lakes Medical Center
111337,Elbert Memorial Hospital,Elberton,GA,"Not In Any System - ,",Critical Access,111337_Elbert Memorial Hospital
112000,Roosevelt Warm Springs Long Term Acute Care Hospital,Warm Springs,GA,"Augusta University Health System - Augusta, GA",Long Term,112000_Roosevelt Warm Springs Long Term Acute Care Hospital
112003,Shepherd Center,Atlanta,GA,"Not In Any System - ,",Long Term,112003_Shepherd Center
112004,Select Specialty Hospital - Midtown Atlanta,Atlanta,GA,"Select Medical Corporation - Mechanicsburg, PA",Long Term,112004_Select Specialty Hospital - Midtown Atlanta
112006,Emory Long-Term Acute Care,Decatur,GA,"Emory Healthcare - Atlanta, GA",Long Term,112006_Emory Long-Term Acute Care
112007,WellStar Windy Hill Hospital,Marietta,GA,"WellStar Health System - Marietta, GA",Long Term,112007_WellStar Windy Hill Hospital
112011,Select Specialty Hospital Savannah,Savannah,GA,"Select Medical Corporation - Mechanicsburg, PA",Long Term,112011_Select Specialty Hospital Savannah
112012,Columbus Specialty Hospital,Columbus,GA,"Not In Any System - ,",Long Term,112012_Columbus Specialty Hospital
112013,Select Specialty Hospital - Augusta,Augusta,GA,"Select Medical Corporation - Mechanicsburg, PA",Long Term,112013_Select Specialty Hospital - Augusta
112014,Select Specialty Hospital South Atlanta,East Point,GA,"Select Medical Corporation - Mechanicsburg, PA",Long Term,112014_Select Specialty Hospital South Atlanta
112016,Regency Macon,Macon,GA,"Select Medical Corporation - Mechanicsburg, PA",Long Term,112016_Regency Macon
112017,Landmark Hospital of Athens,Athens,GA,"Landmark Holdings of Missouri, LLC - Cape Girardeau, MO",Long Term,112017_Landmark Hospital of Athens
112018,Landmark Hospital of Savannah,Savannah,GA,"Landmark Holdings of Missouri, LLC - Cape Girardeau, MO",Long Term,112018_Landmark Hospital of Savannah
113028,Roosevelt Warm Springs,Warm Springs,GA,"Augusta University Health System - Augusta, GA",Rehabilitation,113028_Roosevelt Warm Springs
113029,Atrium Health Navicent Rehabilitation Hospital,Macon,GA,"Atrium Health Navicent - Macon, GA",Rehabilitation,113029_Atrium Health Navicent Rehabilitation Hospital
113030,Walton Rehabilitation Hospital,Augusta,GA,"Not In Any System - ,",Rehabilitation,113030_Walton Rehabilitation Hospital
113031,Emory Rehabilitation Hospital,Atlanta,GA,"Not In Any System - ,",Rehabilitation,113031_Emory Rehabilitation Hospital
113032,Encompass Health Rehabilitation Hospital of Newnan,Newnan,GA,"Encompass Health - Birmingham, AL",Rehabilitation,113032_Encompass Health Rehabilitation Hospital of Newnan
113033,Encompass Health Rehabilitation Hospital of Savannah,Savannah,GA,"Not In Any System - ,",Rehabilitation,113033_Encompass Health Rehabilitation Hospital of Savannah
113300,Children's Egleston Hospital,Atlanta,GA,"Children's Healthcare of Atlanta - Atlanta, GA",Childrens,113300_Children's Egleston Hospital
113301,Children's Healthcare of Atlanta at Scottish Rite,Atlanta,GA,"Children's Healthcare of Atlanta - Atlanta, GA",Childrens,113301_Children's Healthcare of Atlanta at Scottish Rite
114004,SummitRidge Hospital,Lawrenceville,GA,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,114004_SummitRidge Hospital
114008,Coastal Harbor Treatment Center,Savannah,GA,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,114008_Coastal Harbor Treatment Center
114010,Peachford Hospital,Atlanta,GA,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,114010_Peachford Hospital
114012,Ridgeview Institute,Smyrna,GA,"US HealthVest - New York, NY",Psychiatric,114012_Ridgeview Institute
114013,West Central Georgia Regional Hospital,Columbus,GA,"Georgia Department of Behavioral Health and Disabilites - Atlanta, GA",Psychiatric,114013_West Central Georgia Regional Hospital
114015,Coliseum Center for Behavioral Health,Macon,GA,"Piedmont Healthcare - Atlanta, GA",Psychiatric,114015_Coliseum Center for Behavioral Health
114016,Saint Simons By-The-Sea,Saint Simons Island,GA,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,114016_Saint Simons By-The-Sea
114019,Georgia Regional Hospital - Atlanta,Decatur,GA,"Georgia Department of Behavioral Health and Disabilites - Atlanta, GA",Psychiatric,114019_Georgia Regional Hospital - Atlanta
114023,The Bradley Center of Saint Francis,Columbus,GA,"LifePoint Health - Brentwood, TN",Psychiatric,114023_The Bradley Center of Saint Francis
114028,Georgia Regional Hospital at Savannah,Savannah,GA,"Georgia Department of Behavioral Health and Disabilites - Atlanta, GA",Psychiatric,114028_Georgia Regional Hospital at Savannah
114029,East Central Regional Hospital - Augusta Campus,Augusta,GA,"Georgia Department of Behavioral Health and Disabilites - Atlanta, GA",Psychiatric,114029_East Central Regional Hospital - Augusta Campus
114032,Anchor Hospital,Atlanta,GA,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,114032_Anchor Hospital
114035,RiverWoods Behavioral Health System,Riverdale,GA,"Acadia Healthcare - Franklin, TN",Psychiatric,114035_RiverWoods Behavioral Health System
114036,Greenleaf Behavioral Health Hospital,Valdosta,GA,"Acadia Healthcare - Franklin, TN",Psychiatric,114036_Greenleaf Behavioral Health Hospital
114037,Ridgeview Institute Monroe,Monroe,GA,"US HealthVest - New York, NY",Psychiatric,114037_Ridgeview Institute Monroe
120001,The Queen's Medical Center,Honolulu,HI,"The Queen's Health Systems - Honolulu, HI",Short Term Acute Care,120001_The Queen's Medical Center
120002,Maui Memorial Medical Center,Wailuku,HI,"Kaiser Permanente - Oakland, CA",Short Term Acute Care,120002_Maui Memorial Medical Center
120004,Wahiawa General Hospital,Wahiawa,HI,"Not In Any System - ,",Short Term Acute Care,120004_Wahiawa General Hospital
120005,Hilo Medical Center,Hilo,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Short Term Acute Care,120005_Hilo Medical Center
120006,Adventist Health Castle,Kailua,HI,"Adventist Health - Roseville, CA",Short Term Acute Care,120006_Adventist Health Castle
120007,Kuakini Medical Center,Honolulu,HI,"Not In Any System - ,",Short Term Acute Care,120007_Kuakini Medical Center
120011,Kaiser Permanente Moanalua Medical Center & Clinic,Honolulu,HI,"Kaiser Permanente - Oakland, CA",Short Term Acute Care,120011_Kaiser Permanente Moanalua Medical Center & Clinic
120014,Wilcox Memorial Hospital,Lihue,HI,"Hawaii Pacific Health - Honolulu, HI",Short Term Acute Care,120014_Wilcox Memorial Hospital
120019,Kona Community Hospital,Kealakekua,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Short Term Acute Care,120019_Kona Community Hospital
12001F,Tripler Army Medical Center,Honolulu,HI,"TRICARE - Falls Church, VA",Short Term Acute Care,12001F_Tripler Army Medical Center
120022,Straub Medical Center,Honolulu,HI,"Hawaii Pacific Health - Honolulu, HI",Short Term Acute Care,120022_Straub Medical Center
120026,Pali Momi Medical Center,Aiea,HI,"Hawaii Pacific Health - Honolulu, HI",Short Term Acute Care,120026_Pali Momi Medical Center
120028,Queen's North Hawaii Community Hospital,Kamuela,HI,"The Queen's Health Systems - Honolulu, HI",Short Term Acute Care,120028_Queen's North Hawaii Community Hospital
121300,Kauai Veterans Memorial Hospital,Waimea,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121300_Kauai Veterans Memorial Hospital
121301,Ka'u Hospital,Pahala,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121301_Ka'u Hospital
121302,Kohala Hospital,Kapaau,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121302_Kohala Hospital
121303,Molokai General Hospital,Kaunakakai,HI,"The Queen's Health Systems - Honolulu, HI",Critical Access,121303_Molokai General Hospital
121304,Kahuku Medical Center,Kahuku,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121304_Kahuku Medical Center
121305,Lanai Community Hospital,Lanai City,HI,"Kaiser Permanente - Oakland, CA",Critical Access,121305_Lanai Community Hospital
121306,Samuel Mahelona Memorial Hospital,Kapaa,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121306_Samuel Mahelona Memorial Hospital
121307,Hale Ho'ola Hamakua,Honoka'a,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Critical Access,121307_Hale Ho'ola Hamakua
121308,Kula Hospital,Kula,HI,"Kaiser Permanente - Oakland, CA",Critical Access,121308_Kula Hospital
122001,Leahi Hospital,Honolulu,HI,"Hawaii Health Systems Corporation - Honolulu, HI",Long Term,122001_Leahi Hospital
123025,Rehabilitation Hospital of the Pacific,Honolulu,HI,"Not In Any System - ,",Rehabilitation,123025_Rehabilitation Hospital of the Pacific
123300,Kapi'olani Medical Center for Women & Children,Honolulu,HI,"Hawaii Pacific Health - Honolulu, HI",Childrens,123300_Kapi'olani Medical Center for Women & Children
123301,Shriners Hospitals for Children - Honolulu,Honolulu,HI,"Shriners Hospitals for Children - Tampa, FL",Childrens,123301_Shriners Hospitals for Children - Honolulu
124001,Kahi Mohala Behavioral Health,Ewa Beach,HI,"Sutter Health - Sacramento, CA",Psychiatric,124001_Kahi Mohala Behavioral Health
130002,St. Luke's Magic Valley Medical Center,Twin Falls,ID,"St. Luke's Health System - Boise, ID",Short Term Acute Care,130002_St. Luke's Magic Valley Medical Center
130003,Saint Joseph Regional Medical Center,Lewiston,ID,"Not In Any System - ,",Short Term Acute Care,130003_Saint Joseph Regional Medical Center
130006,St. Luke's Boise Medical Center,Boise,ID,"St. Luke's Health System - Boise, ID",Short Term Acute Care,130006_St. Luke's Boise Medical Center
130007,Saint Alphonsus Regional Medical Center,Boise,ID,"Trinity Health - Livonia, MI",Short Term Acute Care,130007_Saint Alphonsus Regional Medical Center
130013,Saint Alphonsus Medical Center - Nampa,Nampa,ID,"Trinity Health - Livonia, MI",Short Term Acute Care,130013_Saint Alphonsus Medical Center - Nampa
130014,West Valley Medical Center,Caldwell,ID,"HCA Healthcare - Nashville, TN",Short Term Acute Care,130014_West Valley Medical Center
130018,Eastern Idaho Regional Medical Center,Idaho Falls,ID,"HCA Healthcare - Nashville, TN",Short Term Acute Care,130018_Eastern Idaho Regional Medical Center
130025,Madison Memorial Hospital,Rexburg,ID,"Not In Any System - ,",Short Term Acute Care,130025_Madison Memorial Hospital
130028,Portneuf Medical Center,Pocatello,ID,"Not In Any System - ,",Short Term Acute Care,130028_Portneuf Medical Center
13003F,Boise VA Medical Center,Boise,ID,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,13003F_Boise VA Medical Center
130049,Kootenai Health,Coeur d'Alene,ID,"Kootenai Health - Coeur d'Alene, ID",Short Term Acute Care,130049_Kootenai Health
130063,Treasure Valley Hospital,Boise,ID,"Not In Any System - ,",Short Term Acute Care,130063_Treasure Valley Hospital
130065,Mountain View Hospital,Idaho Falls,ID,"Not In Any System - ,",Short Term Acute Care,130065_Mountain View Hospital
130066,Northwest Specialty Hospital,Post Falls,ID,"Not In Any System - ,",Short Term Acute Care,130066_Northwest Specialty Hospital
130071,St. Luke's Nampa Medical Center,Nampa,ID,"St. Luke's Health System - Boise, ID",Short Term Acute Care,130071_St. Luke's Nampa Medical Center
130073,Grove Creek Medical Center,Blackfoot,ID,"Not In Any System - ,",Short Term Acute Care,130073_Grove Creek Medical Center
130074,Idaho Falls Community Hospital,Idaho Falls,ID,"Not In Any System - ,",Short Term Acute Care,130074_Idaho Falls Community Hospital
131301,Boundary Community Hospital,Bonners Ferry,ID,"Not In Any System - ,",Critical Access,131301_Boundary Community Hospital
131302,North Canyon Medical Center,Gooding,ID,"Not In Any System - ,",Critical Access,131302_North Canyon Medical Center
131303,Nell J. Redfield Memorial Hospital,Malad City,ID,"Not In Any System - ,",Critical Access,131303_Nell J. Redfield Memorial Hospital
131304,Power County Hospital District,American Falls,ID,"Not In Any System - ,",Critical Access,131304_Power County Hospital District
131305,Steele Memorial Medical Center,Salmon,ID,"Not In Any System - ,",Critical Access,131305_Steele Memorial Medical Center
131307,Weiser Memorial Hospital,Weiser,ID,"Not In Any System - ,",Critical Access,131307_Weiser Memorial Hospital
