CMS Certification Number,Facility Name,System Affiliation,State,ZIP,Latitude,Longitude,Type of Control,FFY2020 IPPS Discharges to Home,Total Discharges,Total Acute Beds,Total Fixed Assets,HIT Designated Assets,Compliant,IT Prop Assets,Agg Control,Num Hospitals in SA,Num Compliant in SA,coor,Num Hospitals within 5 Miles,Num Compliant Hospitals within 5 Miles,Pct Compliant within Radius,Daily Penalty,Annual Penalty
100099,AdventHealth Lake Wales,"AdventHealth - Altamonte Springs, FL",FL,33853,27.8958,-81.564697,"Proprietary, Corporation",607,4997,93,31817287,1940052,,6.1,Proprietary,33,0,"(27.8958, -81.564697)",0,0,,930,339450
10009F,Bay Pines VA Healthcare System,"Department of Veterans Affairs - Washington, DC",FL,33744,27.8139,-82.778297,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(27.8139, -82.778297)",3,0,0,300,109500
100105,Cleveland Clinic Indian River Hospital,"Cleveland Clinic Health System - Cleveland, OH",FL,32960,27.6584,-80.3974,"Voluntary Nonprofit, Other",1839,13216,310,98390950,0,,0,Nonprofit,17,0,"(27.6584, -80.3974)",1,0,0,3100,1131500
100106,Doctors' Memorial Hospital,Not in a System,FL,32347,30.121099,-83.592003,"Governmental, County",79,557,48,2041399,0,,0,Governmental,0,1,"(30.121099, -83.592003)",0,0,,480,175200
100107,Lehigh Regional Medical Center,"Prime Healthcare Services, Inc. - Ontario, CA",FL,33936,26.6141,-81.659302,"Proprietary, Corporation",341,2297,53,15552065,0,,0,Proprietary,45,0,"(26.6141, -81.659302)",0,0,,530,193450
100109,AdventHealth Sebring,"AdventHealth - Altamonte Springs, FL",FL,33872,27.538401,-81.507004,"Voluntary Nonprofit, Church",1708,11167,180,84887162,12312792,,14.5,Nonprofit,33,0,"(27.538401, -81.507004)",0,0,,1800,657000
100110,Osceola Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,34741,28.3009,-81.409599,"Proprietary, Corporation",1643,19325,351,143664221,0,,0,Proprietary,169,0,"(28.3009, -81.409599)",0,0,,3510,1281150
100113,UF Health Shands Florida,"UF Health - Gainesville, FL",FL,32608,29.6392,-82.343399,"Voluntary Nonprofit, Other",6244,45477,954,1058498835,0,,0,Nonprofit,6,0,"(29.6392, -82.343399)",4,0,0,5500,2007500
100117,Baptist Medical Center Beaches,"Baptist Health - Jacksonville, FL",FL,32250,30.2745,-81.399002,"Voluntary Nonprofit, Church",1261,7406,135,78797000,0,,0,Nonprofit,3,0,"(30.2745, -81.399002)",1,0,0,1350,492750
100118,AdventHealth Palm Coast,"AdventHealth - Altamonte Springs, FL",FL,32164,29.479,-81.190102,"Voluntary Nonprofit, Church",1160,7846,99,86467265,11017297,,12.7,Nonprofit,33,0,"(29.479, -81.190102)",0,0,,990,361350
100121,Bartow Regional Medical Center,"BayCare Health System - Clearwater, FL",FL,33830,27.9177,-81.845299,"Proprietary, Corporation",236,3051,72,41926535,0,,0,Proprietary,11,0,"(27.9177, -81.845299)",0,0,,720,262800
100122,North Okaloosa Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,32539,30.737,-86.564003,"Proprietary, Corporation",658,4409,110,34583553,0,,0,Proprietary,78,0,"(30.737, -86.564003)",0,0,,1100,401500
100124,Santa Rosa Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,32570,30.6322,-87.067398,"Proprietary, Corporation",669,4812,106,45079398,0,,0,Proprietary,78,0,"(30.6322, -87.067398)",1,0,0,1060,386900
100125,Homestead Hospital,"Baptist Health South Florida - Coral Gables, FL",FL,33033,25.4788,-80.432098,"Voluntary Nonprofit, Other",548,7476,197,35563874,4169006,,11.7,Nonprofit,9,0,"(25.4788, -80.432098)",0,0,,1970,719050
100126,Palms of Pasadena Hospital,"HCA Healthcare - Nashville, TN",FL,33707,27.752001,-82.739403,"Proprietary, Corporation",640,4536,167,38671280,0,,0,Proprietary,169,0,"(27.752001, -82.739403)",2,0,0,1670,609550
100127,Morton Plant Hospital,"BayCare Health System - Clearwater, FL",FL,33756,27.9517,-82.8022,"Voluntary Nonprofit, Other",2801,22244,569,327413278,0,,0,Nonprofit,11,0,"(27.9517, -82.8022)",5,0,0,5500,2007500
100128,Tampa General Hospital,Not in a System,FL,33606,27.937401,-82.459801,"Voluntary Nonprofit, Other",5352,49884,898,522922111,0,,0,Nonprofit,0,1,"(27.937401, -82.459801)",5,0,0,5500,2007500
100130,Lakeside Medical Center,Not in a System,FL,33430,26.725599,-80.671303,Governmental Hospital District,121,1312,54,36416258,0,,0,Governmental,0,1,"(26.725599, -80.671303)",0,0,,540,197100
100131,Aventura Hospital and Medical Center,"HCA Healthcare - Nashville, TN",FL,33180,25.9697,-80.144302,"Proprietary, Corporation",1577,15666,351,175348872,0,,0,Proprietary,169,0,"(25.9697, -80.144302)",2,0,0,3510,1281150
100132,South Florida Baptist Hospital,"BayCare Health System - Clearwater, FL",FL,33563,28.0154,-82.138,"Voluntary Nonprofit, Other",402,4996,136,40252761,0,,0,Nonprofit,11,0,"(28.0154, -82.138)",0,0,,1360,496400
100134,Ed Fraser Memorial Hospital,Not in a System,FL,32063,30.2861,-82.119598,"Voluntary Nonprofit, Other",87,291,21,10578909,0,,0,Nonprofit,0,1,"(30.2861, -82.119598)",1,0,0,300,109500
100135,Tallahassee Memorial Healthcare,Not in a System,FL,32308,30.4562,-84.261902,"Voluntary Nonprofit, Other",2937,28264,386,505038013,0,,0,Nonprofit,0,1,"(30.4562, -84.261902)",4,0,0,3860,1408900
100137,AdventHealth Heart of Florida,"AdventHealth - Altamonte Springs, FL",FL,33837,28.1814,-81.6399,"Proprietary, Corporation",779,6984,193,119599483,3303430,,2.8,Proprietary,33,0,"(28.1814, -81.6399)",0,0,,1930,704450
10013F,Naval Hospital Jacksonville,"TRICARE - Falls Church, VA",FL,32214,30.223301,-81.693199,"Governmental, Federal",0,0,0,0,0,,,Governmental,32,0,"(30.223301, -81.693199)",1,0,0,300,109500
100140,Baptist Medical Center Nassau,"Baptist Health - Jacksonville, FL",FL,32034,30.653299,-81.449402,"Voluntary Nonprofit, Church",547,2954,54,58366000,0,,0,Nonprofit,3,0,"(30.653299, -81.449402)",0,0,,540,197100
100142,Jackson Hospital,Not in a System,FL,32446,30.7866,-85.242104,Governmental Hospital District,330,2549,66,37377877,0,,0,Governmental,0,1,"(30.7866, -85.242104)",0,0,,660,240900
100150,Lower Keys Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,33040,24.5819,-81.743103,"Proprietary, Corporation",364,2345,99,44074366,0,,0,Proprietary,78,0,"(24.5819, -81.743103)",0,0,,990,361350
100151,Mayo Clinic Hospital in Florida,"Mayo Clinic Health System - Rochester, MN",FL,32224,30.263,-81.4375,"Voluntary Nonprofit, Other",3812,15067,304,233773089,0,,0,Nonprofit,21,0,"(30.263, -81.4375)",1,0,0,3040,1109600
100154,South Miami Hospital,"Baptist Health South Florida - Coral Gables, FL",FL,33143,25.7031,-80.293999,"Voluntary Nonprofit, Other",953,12491,436,232451045,25000,,0,Nonprofit,9,0,"(25.7031, -80.293999)",7,0,0,4360,1591400
100156,Lake City Medical Center,"HCA Healthcare - Nashville, TN",FL,32055,30.1835,-82.686401,"Proprietary, Corporation",1220,6709,91,39513679,0,,0,Proprietary,169,0,"(30.1835, -82.686401)",1,0,0,910,332150
100157,Lakeland Regional Health Medical Center,Not in a System,FL,33805,28.060499,-81.953201,"Voluntary Nonprofit, Other",4358,39579,774,510757028,0,,0,Nonprofit,0,1,"(28.060499, -81.953201)",0,0,,5500,2007500
10015F,Lake City VA Medical Center,"Department of Veterans Affairs - Washington, DC",FL,32025,30.1817,-82.636902,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(30.1817, -82.636902)",1,0,0,300,109500
100161,Central Florida Regional Hospital,"HCA Healthcare - Nashville, TN",FL,32771,28.8162,-81.283798,"Proprietary, Corporation",1080,10830,208,57859237,0,,0,Proprietary,169,0,"(28.8162, -81.283798)",0,0,,2080,759200
100166,Doctors Hospital of Sarasota,"HCA Healthcare - Nashville, TN",FL,34233,27.301001,-82.451698,"Proprietary, Corporation",1181,7183,139,66090932,0,,0,Proprietary,169,0,"(27.301001, -82.451698)",3,0,0,1390,507350
100168,Boca Raton Regional Hospital,"Baptist Health South Florida - Coral Gables, FL",FL,33486,26.3594,-80.102898,"Voluntary Nonprofit, Other",3526,17047,370,203713148,21479568,,10.5,Nonprofit,9,0,"(26.3594, -80.102898)",0,0,,3700,1350500
100173,AdventHealth Tampa,"AdventHealth - Altamonte Springs, FL",FL,33613,28.069201,-82.422997,"Voluntary Nonprofit, Church",1863,21337,506,580930604,0,,0,Nonprofit,33,0,"(28.069201, -82.422997)",3,0,0,5060,1846900
100175,DeSoto Memorial Hospital,Not in a System,FL,34266,27.2274,-81.8517,"Governmental, County",145,1052,49,17166642,0,,0,Governmental,0,1,"(27.2274, -81.8517)",0,0,,490,178850
100176,Palm Beach Gardens Medical Center,"TENET Healthcare - Dallas, TX",FL,33410,26.8307,-80.086601,"Proprietary, Corporation",1984,9338,199,125641417,11032376,,8.8,Proprietary,46,0,"(26.8307, -80.086601)",3,0,0,1990,726350
100177,Health First Cape Canaveral Hospital,"Health First - Rockledge, FL",FL,32931,28.3578,-80.623001,"Voluntary Nonprofit, Other",665,7194,150,44313490,0,,0,Nonprofit,4,0,"(28.3578, -80.623001)",0,0,,1500,547500
100179,Memorial Hospital,"HCA Healthcare - Nashville, TN",FL,32216,30.288,-81.602402,"Proprietary, Corporation",2495,19120,396,197624416,0,,0,Proprietary,169,0,"(30.288, -81.602402)",6,0,0,3960,1445400
100180,Saint Petersburg General Hospital,"HCA Healthcare - Nashville, TN",FL,33710,27.8064,-82.726601,"Proprietary, Corporation",402,5300,168,27517786,0,,0,Proprietary,169,0,"(27.8064, -82.726601)",4,0,0,1680,613200
100181,Larkin Community Hospital South Miami,"Larkin Community Hospital Health System - South Miami, FL",FL,33143,25.7055,-80.293404,"Proprietary, Corporation",445,3765,118,23730606,0,,0,Proprietary,3,0,"(25.7055, -80.293404)",7,0,0,1180,430700
100183,Coral Gables Hospital,"Steward Health Care System - Boston, MA",FL,33134,25.7437,-80.254303,"Proprietary, Corporation",635,5845,245,64832955,10869136,,16.8,Proprietary,36,0,"(25.7437, -80.254303)",12,0,0,2450,894250
100187,Palmetto General Hospital,"Steward Health Care System - Boston, MA",FL,33016,25.8841,-80.326797,"Proprietary, Corporation",1128,17215,363,128293230,10689695,,8.3,Proprietary,36,0,"(25.8841, -80.326797)",3,0,0,3630,1324950
100189,Northwest Medical Center,"HCA Healthcare - Nashville, TN",FL,33063,26.262699,-80.201698,"Proprietary, Corporation",1011,13444,289,120379204,0,,0,Proprietary,169,0,"(26.262699, -80.201698)",2,0,0,2890,1054850
10018F,Naval Hospital Pensacola,"TRICARE - Falls Church, VA",FL,32512,30.396799,-87.299004,"Governmental, Federal",0,0,0,0,0,,,Governmental,32,0,"(30.396799, -87.299004)",1,0,0,300,109500
100191,Medical Center of Trinity,"HCA Healthcare - Nashville, TN",FL,34655,28.2061,-82.6605,"Proprietary, Corporation",1486,12858,278,254650122,0,,0,Proprietary,169,0,"(28.2061, -82.6605)",1,0,0,2780,1014700
100200,Broward Health Imperial Point,"Broward Health - Fort Lauderdale, FL",FL,33308,26.2068,-80.108101,Governmental Hospital District,849,4934,157,39579072,0,,0,Governmental,4,0,"(26.2068, -80.108101)",3,0,0,1570,573050
100204,North Florida Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,32605,29.6597,-82.411903,"Proprietary, Corporation",4468,25459,408,245886530,0,,0,Proprietary,169,0,"(29.6597, -82.411903)",5,0,0,4080,1489200
100206,HCA Florida South Tampa Hospital,"HCA Healthcare - Nashville, TN",FL,33609,27.937401,-82.490097,"Proprietary, Corporation",1269,5505,312,100282865,0,,0,Proprietary,169,0,"(27.937401, -82.490097)",5,0,0,3120,1138800
100208,Jackson South Medical Center,"Jackson Health System - Miami, FL",FL,33157,25.628901,-80.3451,"Proprietary, Corporation",0,8219,176,57727105,0,,0,Proprietary,2,0,"(25.628901, -80.3451)",2,0,0,1760,642400
100209,Kendall Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,33175,25.731899,-80.385902,"Proprietary, Corporation",889,19335,419,209552802,0,,0,Proprietary,169,0,"(25.731899, -80.385902)",3,0,0,4190,1529350
100210,Florida Medical Center,"Steward Health Care System - Boston, MA",FL,33313,26.1647,-80.216698,"Proprietary, Corporation",0,9083,360,39099266,0,,0,Proprietary,36,0,"(26.1647, -80.216698)",4,0,0,3600,1314000
100211,AdventHealth Dade City,"AdventHealth - Altamonte Springs, FL",FL,33525,28.347799,-82.201698,"Proprietary, Corporation",250,2668,75,23289573,0,,0,Proprietary,33,0,"(28.347799, -82.201698)",0,0,,750,273750
100212,Ocala Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,34471,29.175301,-82.137901,"Proprietary, Corporation",4925,29882,432,274362655,0,,0,Proprietary,169,0,"(29.175301, -82.137901)",4,0,0,4320,1576800
100213,Blake Medical Center,"HCA Healthcare - Nashville, TN",FL,34209,27.4825,-82.624603,"Proprietary, Corporation",1709,12748,355,70325340,0,,0,Proprietary,169,0,"(27.4825, -82.624603)",2,0,0,3550,1295750
100217,Sebastian River Medical Center,"Steward Health Care System - Boston, MA",FL,32958,27.8435,-80.4879,"Proprietary, Corporation",789,4310,126,24575014,0,,0,Proprietary,36,0,"(27.8435, -80.4879)",0,0,,1260,459900
100220,Gulf Coast Medical Center,"Lee Health - Fort Myers, FL",FL,33912,26.5445,-81.8517,"Proprietary, Corporation",3199,20240,572,436762234,0,,0,Proprietary,3,0,"(26.5445, -81.8517)",1,0,0,5500,2007500
100223,Fort Walton Beach Medical Center,"HCA Healthcare - Nashville, TN",FL,32547,30.4555,-86.633698,"Proprietary, Corporation",2276,12137,189,85977077,0,,0,Proprietary,169,0,"(30.4555, -86.633698)",1,0,0,1890,689850
100224,HCA Florida Woodmont Hospital,"HCA Healthcare - Nashville, TN",FL,33321,26.2129,-80.252602,"Proprietary, Corporation",723,6244,245,35554717,0,,0,Proprietary,169,0,"(26.2129, -80.252602)",5,0,0,2450,894250
100226,Orange Park Medical Center,"HCA Healthcare - Nashville, TN",FL,32073,30.1649,-81.737,"Proprietary, Corporation",2233,18377,273,175588428,0,,0,Proprietary,169,0,"(30.1649, -81.737)",1,0,0,2730,996450
100227,Saint Joseph's Women's Hospital,"BayCare Health System - Clearwater, FL",FL,33607,27.981199,-82.491302,"Voluntary Nonprofit, Church",0,0,0,0,0,,,Nonprofit,11,0,"(27.981199, -82.491302)",5,0,0,300,109500
100228,Westside Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,33324,26.1208,-80.260902,"Proprietary, Corporation",1104,11923,250,118379376,0,,0,Proprietary,169,0,"(26.1208, -80.260902)",2,0,0,2500,912500
100230,Memorial Hospital Pembroke,"Memorial Healthcare System - Hollywood, FL",FL,33024,26.030899,-80.246597,Governmental Hospital District,518,5942,301,18026607,0,,0,Governmental,4,0,"(26.030899, -80.246597)",4,0,0,3010,1098650
100231,West Florida Hospital,"HCA Healthcare - Nashville, TN",FL,32514,30.516001,-87.216202,"Proprietary, Corporation",2867,17599,350,108745849,0,,0,Proprietary,169,0,"(30.516001, -87.216202)",2,0,0,3500,1277500
100232,Putnam Community Medical Center,"HCA Healthcare - Nashville, TN",FL,32177,29.642401,-81.693497,"Proprietary, Corporation",772,5049,87,32154835,0,,0,Proprietary,169,0,"(29.642401, -81.693497)",0,0,,870,317550
100234,JFK Medical Center - North Campus,"HCA Healthcare - Nashville, TN",FL,33407,26.759001,-80.087402,"Proprietary, Corporation",0,5660,168,15164637,0,,0,Proprietary,169,0,"(26.759001, -80.087402)",5,0,0,1680,613200
100236,Fawcett Memorial Hospital,"HCA Healthcare - Nashville, TN",FL,33952,26.987801,-82.098297,"Proprietary, Corporation",1581,9458,233,82756560,0,,0,Proprietary,169,0,"(26.987801, -82.098297)",2,0,0,2330,850450
100238,Northside Hospital & Tampa Bay Heart Institute,"HCA Healthcare - Nashville, TN",FL,33709,27.8256,-82.699997,"Proprietary, Corporation",967,9569,233,39699918,0,,0,Proprietary,169,0,"(27.8256, -82.699997)",4,0,0,2330,850450
100240,Bascom Palmer Eye Institute,"University of Miami Health System - Miami, FL",FL,33136,25.791401,-80.210602,"Voluntary Nonprofit, Other",0,51,56,25228132,0,,0,Nonprofit,2,0,"(25.791401, -80.210602)",9,0,0,560,204400
100242,Gulf Coast Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,32405,30.189699,-85.665001,"Proprietary, Corporation",1922,13838,223,124679137,0,,0,Proprietary,169,0,"(30.189699, -85.665001)",4,0,0,2230,813950
100243,HCA Florida Brandon Hospital,"HCA Healthcare - Nashville, TN",FL,33511,27.933599,-82.288696,"Proprietary, Corporation",2288,23081,409,189892921,0,,0,Proprietary,169,0,"(27.933599, -82.288696)",0,0,,4090,1492850
100244,Cape Coral Hospital,"Lee Health - Fort Myers, FL",FL,33990,26.639601,-81.941002,"Governmental, Other",1726,17104,291,81023507,0,,0,Governmental,3,0,"(26.639601, -81.941002)",1,0,0,2910,1062150
100246,Lawnwood Regional Medical Center & Heart Institute,"HCA Healthcare - Nashville, TN",FL,34950,27.4317,-80.347397,"Proprietary, Corporation",1810,17769,324,89236188,0,,0,Proprietary,169,0,"(27.4317, -80.347397)",0,0,,3240,1182600
100248,Largo Medical Center,"HCA Healthcare - Nashville, TN",FL,33770,27.9149,-82.802696,"Proprietary, Corporation",1833,11372,285,105612000,0,,0,Proprietary,169,0,"(27.9149, -82.802696)",3,0,0,2850,1040250
100249,Bayfront Health Seven Rivers,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,34428,28.9513,-82.626099,"Proprietary, Corporation",1216,6072,128,40283825,0,,0,Proprietary,78,0,"(28.9513, -82.626099)",0,0,,1280,467200
100252,Raulerson Hospital,"HCA Healthcare - Nashville, TN",FL,34972,27.259701,-80.829903,"Proprietary, Corporation",640,4010,100,16650159,0,,0,Proprietary,169,0,"(27.259701, -80.829903)",0,0,,1000,365000
100253,Jupiter Medical Center,Not in a System,FL,33458,26.922899,-80.094498,"Voluntary Nonprofit, Other",2003,13893,242,280913010,86063755,,30.6,Nonprofit,0,1,"(26.922899, -80.094498)",1,0,0,2420,883300
100254,Capital Regional Medical Center,"HCA Healthcare - Nashville, TN",FL,32308,30.4751,-84.231102,"Proprietary, Corporation",1790,16822,266,95920118,0,,0,Proprietary,169,0,"(30.4751, -84.231102)",4,0,0,2660,970900
100255,HCA Florida West Tampa Hospital,"HCA Healthcare - Nashville, TN",FL,33615,28.0021,-82.575104,"Proprietary, Corporation",0,3184,182,23310116,0,,0,Proprietary,169,0,"(28.0021, -82.575104)",1,0,0,1820,664300
100256,Regional Medical Center Bayonet Point,"HCA Healthcare - Nashville, TN",FL,34667,28.361,-82.690399,"Proprietary, Corporation",1854,16867,290,69579012,0,,0,Proprietary,169,0,"(28.361, -82.690399)",0,0,,2900,1058500
100258,Delray Medical Center,"TENET Healthcare - Dallas, TX",FL,33484,26.439199,-80.126297,"Proprietary, Corporation",3199,17772,361,162753405,9703577,,6,Proprietary,46,0,"(26.439199, -80.126297)",1,0,0,3610,1317650
100259,South Bay Hospital,"HCA Healthcare - Nashville, TN",FL,33573,27.7124,-82.364899,"Proprietary, Corporation",1011,6091,138,44230630,0,,0,Proprietary,169,0,"(27.7124, -82.364899)",0,0,,1380,503700
100260,Saint Lucie Medical Center,"HCA Healthcare - Nashville, TN",FL,34952,27.2882,-80.295799,"Proprietary, Corporation",1589,11580,207,40366283,0,,0,Proprietary,169,0,"(27.2882, -80.295799)",1,0,0,2070,755550
100264,Oak Hill Hospital,"HCA Healthcare - Nashville, TN",FL,34613,28.5333,-82.534302,"Proprietary, Corporation",2505,19319,338,119351688,0,,0,Proprietary,169,0,"(28.5333, -82.534302)",2,0,0,3380,1233700
100265,Mease Countryside Hospital,"BayCare Health System - Clearwater, FL",FL,34695,28.0397,-82.709,"Voluntary Nonprofit, Other",1706,13392,299,195536463,0,,0,Nonprofit,11,0,"(28.0397, -82.709)",2,0,0,2990,1091350
100266,Gulf Breeze Hospital,"Baptist Health Care - Pensacola, FL",FL,32562,30.3585,-87.156998,"Voluntary Nonprofit, Other",594,3196,65,26647052,0,,0,Nonprofit,3,0,"(30.3585, -87.156998)",0,0,,650,237250
100267,Englewood Community Hospital,"HCA Healthcare - Nashville, TN",FL,34223,26.948999,-82.326698,"Proprietary, Corporation",672,3524,100,15364730,0,,0,Proprietary,169,0,"(26.948999, -82.326698)",0,0,,1000,365000
100268,West Boca Medical Center,"TENET Healthcare - Dallas, TX",FL,33428,26.355801,-80.203201,"Proprietary, Corporation",688,9569,195,51744205,9724014,,18.8,Proprietary,46,0,"(26.355801, -80.203201)",0,0,,1950,711750
100269,Palms West Hospital,"HCA Healthcare - Nashville, TN",FL,33470,26.6819,-80.2519,"Proprietary, Corporation",863,12452,204,56234405,0,,0,Proprietary,169,0,"(26.6819, -80.2519)",1,0,0,2040,744600
100271,Moffitt Cancer Center,Not in a System,FL,33612,28.064199,-82.420898,"Voluntary Nonprofit, Other",1611,9392,206,50938518,0,,0,Nonprofit,0,1,"(28.064199, -82.420898)",3,0,0,2060,751900
100275,Wellington Regional Medical Center,"Universal Health Services, Inc. - King of Prussia, PA",FL,33414,26.650801,-80.2052,"Proprietary, Corporation",947,13957,235,95121175,0,,0,Proprietary,153,0,"(26.650801, -80.2052)",1,0,0,2350,857750
100276,Broward Health Coral Springs,"Broward Health - Fort Lauderdale, FL",FL,33065,26.268801,-80.254204,Governmental Hospital District,626,10403,224,104231805,0,,0,Governmental,4,0,"(26.268801, -80.254204)",2,0,0,2240,817600
100277,Miami Jewish Health Systems,Not in a System,FL,33137,25.8232,-80.191803,"Voluntary Nonprofit, Other",0,298,32,0,0,,,Nonprofit,0,1,"(25.8232, -80.191803)",8,0,0,320,116800
100280,Bayfront Health Spring Hill,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,34609,28.436199,-82.540703,"Proprietary, Corporation",0,4933,88,19385661,0,,0,Proprietary,78,0,"(28.436199, -82.540703)",0,0,,880,321200
100281,Memorial Hospital West,"Memorial Healthcare System - Hollywood, FL",FL,33028,26.0128,-80.311996,Governmental Hospital District,1230,18217,486,243177797,0,,0,Governmental,4,0,"(26.0128, -80.311996)",3,0,0,4860,1773900
100284,Westchester General Hospital,Not in a System,FL,33155,25.7477,-80.3172,"Proprietary, Corporation",246,1951,98,9279038,0,,0,Proprietary,0,1,"(25.7477, -80.3172)",8,0,0,980,357700
100285,Memorial Hospital Miramar,"Memorial Healthcare System - Hollywood, FL",FL,33029,25.990999,-80.375999,Governmental Hospital District,274,7838,178,85271437,0,,0,Governmental,4,0,"(25.990999, -80.375999)",1,0,0,1780,649700
100286,Physicians Regional - Pine Ridge,"Community Health Systems, Inc. (CHS) - Franklin, TN",FL,34119,26.2117,-81.732002,"Proprietary, Other",2824,13094,209,208114524,0,,0,Proprietary,78,0,"(26.2117, -81.732002)",0,0,,2090,762850
100287,Good Samaritan Medical Center,"TENET Healthcare - Dallas, TX",FL,33401,26.7244,-80.051903,"Proprietary, Corporation",1106,9681,333,88748558,10064617,,11.3,Proprietary,46,0,"(26.7244, -80.051903)",2,0,0,3330,1215450
100288,Saint Mary's Medical Center,"TENET Healthcare - Dallas, TX",FL,33407,26.753099,-80.062698,"Proprietary, Corporation",786,15769,370,119069831,11515611,,9.7,Proprietary,46,0,"(26.753099, -80.062698)",4,0,0,3700,1350500
100289,Cleveland Clinic Florida,"Cleveland Clinic Health System - Cleveland, OH",FL,33331,26.082199,-80.363602,"Voluntary Nonprofit, Other",1945,12874,230,307929402,0,,0,Nonprofit,17,0,"(26.082199, -80.363602)",0,0,,2300,839500
100290,UF Health The Villages Hospital,"UF Health - Gainesville, FL",FL,32159,28.9494,-81.958397,"Voluntary Nonprofit, Other",2348,13228,277,160985205,0,,0,Nonprofit,6,0,"(28.9494, -81.958397)",1,0,0,2770,1011050
100291,Melbourne Regional Medical Center,"Steward Health Care System - Boston, MA",FL,32935,28.1092,-80.6726,"Proprietary, Corporation",378,3610,96,13197985,0,,0,Proprietary,36,0,"(28.1092, -80.6726)",4,0,0,960,350400
100292,Ascension Sacred Heart Emerald Coast,"Ascension Health - Saint Louis, MO",FL,32550,30.377001,-86.307503,"Voluntary Nonprofit, Church",624,4966,72,67762985,0,,0,Nonprofit,92,0,"(30.377001, -86.307503)",0,0,,720,262800
100296,Doctors Hospital,"Baptist Health South Florida - Coral Gables, FL",FL,33146,25.7241,-80.273399,"Voluntary Nonprofit, Other",552,4863,281,144577451,8280,,0,Nonprofit,9,0,"(25.7241, -80.273399)",8,0,0,2810,1025650
100298,Florida State Hospital,"Florida Department of Health - Tallahassee, FL",FL,32324,30.7057,-84.843399,"Governmental, State",0,0,24,79369829,0,,0,Governmental,3,0,"(30.7057, -84.843399)",0,0,,300,109500
100299,Lakewood Ranch Medical Center,"Universal Health Services, Inc. - King of Prussia, PA",FL,34202,27.390699,-82.433296,"Proprietary, Corporation",1038,6555,120,61422827,0,,0,Proprietary,153,0,"(27.390699, -82.433296)",0,0,,1200,438000
100302,Orlando Health St. Cloud Hospital,"Orlando Health - Orlando, FL",FL,34769,28.242399,-81.302299,"Proprietary, Corporation",306,4231,84,49217818,0,,0,Proprietary,5,0,"(28.242399, -81.302299)",1,0,0,840,306600
100307,Ascension St. Vincent's Southside Hospital,"Ascension Health - Saint Louis, MO",FL,32216,30.253401,-81.584,"Voluntary Nonprofit, Church",929,8794,278,112447605,0,,0,Nonprofit,92,0,"(30.253401, -81.584)",5,0,0,2780,1014700
100313,Ascension Sacred Heart Gulf,"Ascension Health - Saint Louis, MO",FL,32456,29.7766,-85.2864,"Voluntary Nonprofit, Church",55,418,19,24619215,0,,0,Nonprofit,92,0,"(29.7766, -85.2864)",0,0,,300,109500
100314,West Kendall Baptist Hospital,"Baptist Health South Florida - Coral Gables, FL",FL,33196,25.6782,-80.457397,"Voluntary Nonprofit, Other",431,7495,133,240050404,0,,0,Nonprofit,9,0,"(25.6782, -80.457397)",0,0,,1330,485450
100315,Viera Hospital,"Health First - Rockledge, FL",FL,32940,28.229601,-80.7295,"Voluntary Nonprofit, Other",809,5014,84,93333465,0,,0,Nonprofit,4,0,"(28.229601, -80.7295)",0,0,,840,306600
100316,Palm Bay Hospital,"Health First - Rockledge, FL",FL,32907,27.998301,-80.6119,"Voluntary Nonprofit, Other",829,6293,120,68766039,0,,0,Nonprofit,4,0,"(27.998301, -80.6119)",2,0,0,1200,438000
100319,AdventHealth Wesley Chapel,"AdventHealth - Altamonte Springs, FL",FL,33544,28.1959,-82.353401,"Voluntary Nonprofit, Church",978,8356,145,191684385,12310154,,6.4,Nonprofit,33,0,"(28.1959, -82.353401)",1,0,0,1450,529250
100320,Poinciana Medical Center,"HCA Healthcare - Nashville, TN",FL,34758,28.1427,-81.476402,"Proprietary, Corporation",535,4353,76,67040356,0,,0,Proprietary,169,0,"(28.1427, -81.476402)",0,0,,760,277400
100321,Ascension St. Vincent's Clay County Hospital,"Ascension Health - Saint Louis, MO",FL,32068,30.108801,-81.831001,"Voluntary Nonprofit, Church",908,6879,106,95308606,0,,0,Nonprofit,92,0,"(30.108801, -81.831001)",0,0,,1060,386900
100329,Oviedo Medical Center,"HCA Healthcare - Nashville, TN",FL,32765,28.655899,-81.227898,"Proprietary, Corporation",387,3893,64,93486465,0,,0,Proprietary,169,0,"(28.655899, -81.227898)",0,0,,640,233600
